ID	Ensembl ID	Average Intensity	UniProt ID	Gene symbol ID
MO000133218	ENSG00000144848	149.95262935226424	Q9NT62	
MO000133225	ENSG00000112245	16.657575326462883	Q93096	
MO000133230	ENSG00000184007	17.932436029202297	Q12974	
MO000133232	ENSG00000131368	48.00115140555817	P82663	
MO000133236	ENSG00000110367	661.4494630927679	P26196	
MO000133237	ENSG00000011243	29.254859214696214	Q9ULX6	
MO000133239	ENSG00000185627	854.2113447460669	Q9UNM6	
MO000133240	ENSG00000185627	854.2113447460669	Q9UNM6	
MO000133246	ENSG00000077549	2814.303951733895	P47756	
MO000133247	ENSG00000090621	1615.9274058639855	Q13310-3	
MO000133248	ENSG00000077549	2814.303951733895	P47756	
MO000133253	ENSG00000077549	2814.303951733895	P47756	
MO000133254	ENSG00000178982	844.7998509456636	Q9UBQ5	
MO000133255	ENSG00000178982	844.7998509456636	Q9UBQ5	
MO000133258	ENSG00000108679	166.0400319786944	Q08380	
MO000133261	ENSG00000108679	166.0400319786944	Q08380	
MO000133263	ENSG00000143924	100.79461511188694	Q9HC35	
MO000133264	ENSG00000143924	100.79461511188694	Q9HC35	
MO000133265	ENSG00000117360	137.81590151002172	O43395	
MO000133270	ENSG00000168385	1508.4663791758326	Q15019	
MO000133277	ENSG00000117360	137.81590151002172	O43395	
MO000133281	ENSG00000170759	585.4001950248601	P33176	
MO000133282	ENSG00000170759	585.4001950248601	P33176	
MO000133283	ENSG00000122545	729.2846843674183	Q16181,Q16181-2	
MO000133285	ENSG00000122545	729.2846843674183	Q16181,Q16181-2	
MO000133287	ENSG00000066322	216.25010578264175	Q9BW60	
MO000133293	ENSG00000135900	85.9264742392255	Q9H9J2	
MO000133295	ENSG00000189182	1686.053584141956	Q7Z794	
MO000133296	ENSG00000189182	1686.053584141956	Q7Z794	
MO000133301	ENSG00000146476	33.82189459864681	Q9H993	
MO000133303	ENSG00000122545	729.2846843674183	Q16181,Q16181-2	
MO000133306	ENSG00000086061	771.6438183333922	P31689	
MO000133308	ENSG00000175575	24.249072724864256	Q9BRP4	
MO000133312	ENSG00000165916	1225.0670091941586	P17980	
MO000133317	ENSG00000110344	28.89049087388261	Q14139	
MO000133322	ENSG00000166266	28.13540584766038	Q93034	
MO000133324	ENSG00000099800	1654.0687235676282	Q9Y5L4	
MO000133325	ENSG00000099800	1654.0687235676282	Q9Y5L4	
MO000133326	ENSG00000105372	6162.812712226858	P39019	
MO000133327	ENSG00000196497	173.5742965338546	Q8TEX9	
MO000133328	ENSG00000090273	1255.6395134711133	Q9Y266	
MO000133335	ENSG00000143486	20.83872883496506	P41214	
MO000133340	ENSG00000136950	601.5871047256941	Q9BPX5	
MO000133346	ENSG00000055950	153.73686023334085	Q8N983-4	
MO000133350	ENSG00000133030	71.91693489041026	Q6WCQ1,Q6WCQ1-2	
MO000133351	ENSG00000133030	71.91693489041026	Q6WCQ1,Q6WCQ1-2	
MO000133354	ENSG00000055950	153.73686023334085	Q8N983-4	
MO000133356	ENSG00000133030	71.91693489041026	Q6WCQ1,Q6WCQ1-2	
MO000133359	ENSG00000137171	108.00782195937157	Q9NSK0	
MO000133361	ENSG00000139343	1965.8610817067793	P62306	
MO000133363	ENSG00000178585	41.26995840966086	Q9NSA3	
MO000133364	ENSG00000178585	41.26995840966086	Q9NSA3	
MO000133365	ENSG00000119638	19.302212697189447	Q8TD19	
MO000133366	ENSG00000119638	19.302212697189447	Q8TD19	
MO000133368	ENSG00000172062,ENSG00000205571	130.59424500661606	Q16637	
MO000133369	ENSG00000105676	186.01491617487767	Q6NXE6	
