ID	UniProt ID	average_intensity
ENSG00000083642	Q9NTI5	45.6
ENSG00000083720	P55809	436.0
ENSG00000083750	Q5VZM2-2	16.3
ENSG00000083845	P46782	11400.0
ENSG00000083857	Q14517	2.44
ENSG00000083937	Q9UQN3	54.1
ENSG00000084070	Q8WU79	48.1
ENSG00000084072	Q9UNP9	78.6
ENSG00000084073	O75844	251.0
ENSG00000084092	Q8NC60	16.8
ENSG00000084112	Q8WYL5	14.1
ENSG00000084207	P09211	0.238
ENSG00000084234	Q06481	4.4
ENSG00000084623	Q13347	1550.0
ENSG00000084652	P40222	93.3
ENSG00000084674	P04114	93.4
ENSG00000084733	P61026	1350.0
ENSG00000084754	P40939	2920.0
ENSG00000084764	Q9UPY8,Q9UPY8-2	79.1
ENSG00000084774	P27708	599.0
ENSG00000085224	P46100	2.0
ENSG00000085231	Q9Y3D8	131.0
ENSG00000085365	O15126	386.0
ENSG00000085377	P48147	510.0
ENSG00000085415	Q96EE3	129.0
ENSG00000085449	Q8IWB7	26.3
ENSG00000085491	Q6NUK1	469.0
ENSG00000085662	P15121	0.816
ENSG00000085719	O75131	1050.0
ENSG00000085733	Q14247,Q14247-3	949.0
ENSG00000085760	P46199	40.6
ENSG00000085788	O94830	41.1
ENSG00000085832	P42566	66.3
ENSG00000085871	Q99735	0.195
ENSG00000085872	Q8IWX8	97.3
ENSG00000085978	Q676U5	9.64
ENSG00000085982	Q9NVE5	2.12
ENSG00000086015	Q6P0Q8	1.18
ENSG00000086061	P31689	342.0
ENSG00000086065	Q9NZZ3	287.0
ENSG00000086102	Q12986	5.04
ENSG00000086189	Q9UNQ2	112.0
ENSG00000086200	Q9UI26	12.7
ENSG00000086475	P49903	585.0
ENSG00000086504	Q13084	86.1
ENSG00000086544	Q96DU7	19.9
ENSG00000086589	Q9NW64	34.3
ENSG00000086598	Q15363	665.0
ENSG00000086619	Q86YB8	3.82
ENSG00000086666	Q6FIF0-2	52.5
ENSG00000086696	P37059	26.4
ENSG00000086712	Q9NUQ3	93.9
ENSG00000086758	Q7Z6Z7	122.0
ENSG00000086827	O43264	64.9
ENSG00000087008	O15254	17.5
ENSG00000087053	Q13614	14.8
ENSG00000087077	Q15654	112.0
ENSG00000087086	P02792	7.07
ENSG00000087087	Q9BXP5-4	192.0
ENSG00000087088	Q07812-8	426.0
ENSG00000087111	Q96S52	55.7
ENSG00000087152	Q14CW9	1.93
ENSG00000087206	Q96RL1	3.84
ENSG00000087253	Q7L5N7	0.578
ENSG00000087258	P09471-2	315.0
ENSG00000087263	Q8N543	14.8
ENSG00000087269	P78316	69.3
ENSG00000087299	Q9H9P8	50.2
ENSG00000087302	Q9Y224	654.0
ENSG00000087365	Q13435	439.0
ENSG00000087460	P63092,P63092-2,P63092-3,Q5JWF2	136.0
ENSG00000087470	O00429,O00429-3,O00429-4	646.0
ENSG00000087502	Q96RQ1	32.7
ENSG00000087510	Q92754	4.4
ENSG00000087586	O14965	58.3
ENSG00000087842	O00625	320.0
ENSG00000087995	Q96IZ6	10.2
ENSG00000088038	O75175	21.9
ENSG00000088205	Q9NVP1	291.0
ENSG00000088247	Q92945	2310.0
ENSG00000088256	P29992	165.0
ENSG00000088325	Q9ULW0	5.0
ENSG00000088356	Q9NUG6	18.2
