attr	D_hierarchical_3	D_hierarchical_4	D_km_2	D_km_3
attractor847	2	2	2	1
attractor848	3	4	1	3
attractor849	2	2	2	1
attractor850	2	2	2	2
attractor851	1	1	1	3
attractor852	2	2	2	1
attractor853	2	2	2	1
attractor854	2	2	2	2
attractor855	1	1	1	3
attractor856	2	2	2	1
attractor857	2	2	2	2
attractor858	2	3	2	1
attractor859	2	2	2	2
attractor860	2	2	2	2
attractor861	2	2	1	2
attractor862	1	1	1	3
attractor863	2	3	2	1
attractor864	1	1	1	3
attractor865	1	1	1	3
attractor866	2	2	2	1
attractor867	2	2	2	1
attractor868	1	1	1	3
attractor869	2	2	2	1
attractor870	2	2	2	1
attractor871	2	2	2	2
attractor872	1	1	1	3
attractor873	2	2	2	2
attractor874	2	2	2	1
attractor875	2	2	2	2
attractor876	1	1	1	3
attractor877	2	2	2	2
attractor878	2	2	2	1
attractor879	2	2	2	2
attractor880	2	2	2	1
attractor881	2	3	2	2
attractor882	2	2	2	1
attractor883	2	2	2	1
attractor884	1	1	1	3
attractor885	2	2	2	2
attractor886	2	2	2	1
attractor887	2	2	2	2
attractor888	2	2	2	1
attractor889	2	2	2	2
attractor890	1	1	1	3
attractor891	2	2	2	2
attractor892	3	4	1	3
attractor893	2	2	2	1
attractor894	2	3	2	1
attractor895	2	2	2	2
attractor896	2	2	2	2
attractor897	2	2	2	1
attractor898	3	4	2	1
attractor899	2	2	2	2
attractor900	2	2	2	2
attractor901	3	4	1	3
attractor902	2	2	2	2
attractor903	2	2	1	3
attractor904	2	2	2	1
attractor905	1	1	1	3
attractor906	2	2	2	1
attractor907	2	2	2	2
attractor908	1	1	1	3
attractor909	2	2	2	1
attractor910	2	3	2	1
attractor911	2	2	2	1
attractor912	1	1	1	3
attractor913	1	1	1	3
attractor914	2	2	2	1
attractor915	2	2	2	1
attractor916	2	2	2	2
attractor917	1	1	1	3
attractor918	2	2	2	2
attractor919	2	2	2	1
attractor920	2	2	2	1
attractor921	2	2	2	1
attractor922	1	1	1	3
attractor923	2	2	2	1
attractor924	2	2	2	1
attractor925	2	2	2	2
attractor926	1	1	1	3
attractor927	2	2	2	2
attractor928	2	3	2	1
attractor929	2	2	2	2
attractor930	2	2	2	1
attractor931	2	2	2	2
attractor932	2	2	2	1
attractor933	2	2	2	1
attractor934	2	2	2	1
attractor935	2	2	2	1
attractor936	1	1	1	3
attractor937	2	2	2	2
