A_hierarchical_2 A_hierarchical_3 A_KM_2 B_KM_2 B_KM_3 C_km_2 C_km_3 D_hierarchical_3 D_hierarchical_4 D_km_2 E_hierarchical_2 E_hierarchical_3 E_km_2 F_hierarchical_10 F_km_2 F_km_3
attractor326 2 2 1 1 3 1 3 2 3 2 1 1 1 2 2 2
attractor327 1 1 2 1 1 2 2 1 1 1 2 2 2 2 1 3
attractor328 2 2 1 1 3 1 3 2 2 2 1 1 1 1 2 2
attractor329 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor330 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor331 2 2 2 1 1 2 1 2 2 2 1 1 2 2 2 3
attractor332 1 3 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor333 2 2 2 1 1 2 3 2 2 2 1 1 2 3 2 2
attractor334 1 1 2 1 3 2 1 3 4 2 1 3 2 1 2 2
attractor335 2 2 2 1 1 2 3 2 2 2 2 2 2 3 2 3
attractor336 1 1 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor337 2 2 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor338 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor339 2 2 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor340 1 3 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor341 1 3 2 1 3 2 3 2 2 2 1 1 2 2 2 2
attractor342 2 2 1 2 2 1 1 2 2 2 1 1 1 1 2 2
attractor343 2 2 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor344 1 1 1 1 3 1 1 2 2 2 1 3 1 2 2 2
attractor345 1 1 2 1 1 2 3 2 2 2 1 1 2 2 2 3
attractor346 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor347 2 2 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor348 2 2 2 1 3 2 1 2 2 2 1 1 2 2 2 2
attractor349 2 2 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor350 2 2 1 1 1 1 3 2 2 2 1 1 1 3 2 3
attractor351 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor352 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 2
